YEAR	C0009264	C0009443	C0024117	
1945	0.818182	0.181818	0.000000	
1946	0.687500	0.312500	0.000000	
1947	0.576271	0.423729	0.000000	
1948	0.732394	0.267606	0.000000	
1949	0.600000	0.400000	0.000000	
1950	0.616541	0.383459	0.000000	
1951	0.713235	0.286765	0.000000	
1952	0.793103	0.206897	0.000000	
1953	0.843750	0.156250	0.000000	
1954	0.846154	0.153846	0.000000	
1955	0.827338	0.172662	0.000000	
1956	0.787234	0.212766	0.000000	
1957	0.846667	0.153333	0.000000	
1958	0.831250	0.168750	0.000000	
1959	0.892045	0.102273	0.005682	
1960	0.840909	0.147727	0.011364	
1961	0.807487	0.187166	0.005348	
1962	0.785714	0.190476	0.023810	
1963	0.824885	0.147465	0.027650	
1964	0.859729	0.104072	0.036199	
1965	0.841121	0.126168	0.032710	
1966	0.920213	0.079787	0.000000	
1967	0.922374	0.077626	0.000000	
1968	0.916318	0.079498	0.004184	
1969	0.931548	0.068452	0.000000	
1970	0.918440	0.081560	0.000000	
1971	0.900000	0.100000	0.000000	
1972	0.948328	0.051672	0.000000	
1973	0.927614	0.072386	0.000000	
1974	0.954674	0.045326	0.000000	
1975	0.952703	0.047297	0.000000	
1976	0.947121	0.052879	0.000000	
1977	0.960598	0.039402	0.000000	
1978	0.981358	0.018642	0.000000	
1979	0.945349	0.048837	0.005814	
1980	0.972527	0.027473	0.000000	
1981	0.960298	0.039702	0.000000	
1982	0.968343	0.030726	0.000931	
1983	0.961571	0.038429	0.000000	
1984	0.951641	0.048359	0.000000	
1985	0.972156	0.027844	0.000000	
1986	0.958696	0.041304	0.000000	
1987	0.962007	0.037993	0.000000	
1988	0.945418	0.054582	0.000000	
1989	0.957597	0.042403	0.000000	
1990	0.950896	0.049104	0.000000	
1991	0.968515	0.030116	0.001369	
1992	0.923784	0.076216	0.000000	
1993	0.950987	0.049013	0.000000	
1994	0.931752	0.067669	0.000578	
1995	0.947055	0.046996	0.005949	
1996	0.927717	0.072283	0.000000	
1997	0.917422	0.080564	0.002014	
1998	0.928401	0.067780	0.003819	
1999	0.861792	0.080660	0.057547	
2000	0.833547	0.100984	0.065469	
2001	0.542002	0.062656	0.395342	
2002	0.423006	0.037662	0.539332	
2003	0.360098	0.035590	0.604311	
2004	0.335278	0.023054	0.641668	
2005	0.324906	0.033156	0.641938	
2006	0.225606	0.018495	0.755899	
2007	0.237454	0.019524	0.743022	
2008	0.265108	0.012751	0.722142	
2009	0.278933	0.014851	0.706216	
2010	0.288017	0.011393	0.700590	
2011	0.251738	0.013981	0.734280	
2012	0.268654	0.009580	0.721766	
2013	0.262284	0.012679	0.725037	
2014	0.238376	0.007973	0.753650	
2015	0.249533	0.006447	0.744020	
2016	0.209867	0.005016	0.785117	
2017	0.206278	0.009191	0.784531	
2018	0.185616	0.014310	0.800074	
