YEAR	C0009264	C0009443	C0024117	
1945	9	2	0	
1946	33	15	0	
1947	34	25	0	
1948	52	19	0	
1949	42	28	0	
1950	82	51	0	
1951	97	39	0	
1952	92	24	0	
1953	108	20	0	
1954	99	18	0	
1955	115	24	0	
1956	111	30	0	
1957	127	23	0	
1958	133	27	0	
1959	157	18	1	
1960	148	26	2	
1961	151	35	1	
1962	132	32	4	
1963	179	32	6	
1964	190	23	8	
1965	180	27	7	
1966	173	15	0	
1967	202	17	0	
1968	219	19	1	
1969	313	23	0	
1970	259	23	0	
1971	297	33	0	
1972	312	17	0	
1973	346	27	0	
1974	337	16	0	
1975	846	42	0	
1976	806	45	0	
1977	707	29	0	
1978	737	14	0	
1979	813	42	5	
1980	885	25	0	
1981	774	32	0	
1982	1040	33	1	
1983	1126	45	0	
1984	1102	56	0	
1985	1222	35	0	
1986	1323	57	0	
1987	1342	53	0	
1988	1403	81	0	
1989	1355	60	0	
1990	1433	74	0	
1991	1415	44	2	
1992	1406	116	0	
1993	1397	72	0	
1994	1611	117	1	
1995	1592	79	10	
1996	1861	145	0	
1997	1822	160	4	
1998	1945	142	8	
1999	1827	171	122	
2000	1948	236	153	
2001	1955	226	1426	
2002	2280	203	2907	
2003	2489	246	4177	
2004	2356	162	4509	
2005	2930	299	5789	
2006	2830	232	9482	
2007	3369	277	10542	
2008	4387	211	11950	
2009	5165	275	13077	
2010	5663	224	13775	
2011	6698	372	19537	
2012	8497	303	22828	
2013	9619	465	26590	
2014	12407	415	39226	
2015	14823	383	44197	
2016	12804	306	47900	
2017	12815	571	48739	
2018	4488	346	19345	
2019	0	0	3	
