YEAR	C0001898	C0002563	C0051405	
1945	1.000000	0.000000	0.000000	
1946	1.000000	0.000000	0.000000	
1947	0.941176	0.000000	0.058824	
1948	1.000000	0.000000	0.000000	
1949	1.000000	0.000000	0.000000	
1950	1.000000	0.000000	0.000000	
1951	0.933333	0.000000	0.066667	
1952	1.000000	0.000000	0.000000	
1953	0.846154	0.153846	0.000000	
1954	1.000000	0.000000	0.000000	
1955	0.833333	0.111111	0.055556	
1956	0.888889	0.111111	0.000000	
1957	0.769231	0.153846	0.076923	
1958	0.756757	0.243243	0.000000	
1959	0.869565	0.130435	0.000000	
1960	0.714286	0.257143	0.028571	
1961	0.823529	0.117647	0.058824	
1962	0.866667	0.120000	0.013333	
1963	0.768116	0.173913	0.057971	
1964	0.836957	0.086957	0.076087	
1965	0.857143	0.114286	0.028571	
1966	1.000000	0.000000	0.000000	
1967	1.000000	0.000000	0.000000	
1968	1.000000	0.000000	0.000000	
1969	1.000000	0.000000	0.000000	
1970	1.000000	0.000000	0.000000	
1971	1.000000	0.000000	0.000000	
1972	1.000000	0.000000	0.000000	
1973	0.988372	0.011628	0.000000	
1974	0.964844	0.035156	0.000000	
1975	0.814199	0.185801	0.000000	
1976	0.863946	0.136054	0.000000	
1977	0.849711	0.150289	0.000000	
1978	0.823105	0.176895	0.000000	
1979	0.821359	0.172816	0.005825	
1980	0.844402	0.144213	0.011385	
1981	0.810204	0.185714	0.004082	
1982	0.843396	0.126415	0.030189	
1983	0.752632	0.210526	0.036842	
1984	0.761450	0.188931	0.049618	
1985	0.766617	0.175775	0.057607	
1986	0.684685	0.201201	0.114114	
1987	0.752174	0.197101	0.050725	
1988	0.826027	0.142466	0.031507	
1989	0.731081	0.201351	0.067568	
1990	0.861949	0.113689	0.024362	
1991	0.748780	0.203659	0.047561	
1992	0.684717	0.261131	0.054152	
1993	0.725389	0.220725	0.053886	
1994	0.676784	0.230517	0.092699	
1995	0.589582	0.336227	0.074191	
1996	0.501094	0.410649	0.088257	
1997	0.509576	0.419973	0.070451	
1998	0.534970	0.383185	0.081845	
1999	0.486524	0.425708	0.087768	
2000	0.501295	0.377007	0.121699	
2001	0.495161	0.417204	0.087634	
2002	0.369893	0.558336	0.071770	
2003	0.435919	0.476211	0.087870	
2004	0.427621	0.474626	0.097754	
2005	0.502994	0.355788	0.141218	
2006	0.397374	0.450328	0.152298	
2007	0.498198	0.326577	0.175225	
2008	0.487479	0.398998	0.113523	
2009	0.541013	0.335764	0.123223	
2010	0.402529	0.392935	0.204536	
2011	0.416459	0.329454	0.254087	
2012	0.324745	0.398075	0.277180	
2013	0.311611	0.459987	0.228402	
2014	0.369763	0.352192	0.278046	
2015	0.285986	0.501208	0.212806	
2016	0.302756	0.420866	0.276378	
2017	0.205383	0.404219	0.390398	
2018	0.587121	0.278680	0.134199	
2019	0.000000	1.000000	0.000000	
