YEAR	C0002893	C0003873	C0034625	
1945	0.000000	0.500000	0.500000	
1946	0.019802	0.534653	0.445545	
1947	0.015873	0.539683	0.444444	
1948	0.007463	0.529851	0.462687	
1949	0.015873	0.603175	0.380952	
1950	0.000000	0.675497	0.324503	
1951	0.020528	0.665689	0.313783	
1952	0.006431	0.675241	0.318328	
1953	0.000000	0.663004	0.336996	
1954	0.007299	0.616788	0.375912	
1955	0.007905	0.656126	0.335968	
1956	0.014440	0.703971	0.281588	
1957	0.011494	0.758621	0.229885	
1958	0.007326	0.769231	0.223443	
1959	0.012766	0.731915	0.255319	
1960	0.031532	0.617117	0.351351	
1961	0.022388	0.746269	0.231343	
1962	0.019157	0.762452	0.218391	
1963	0.017301	0.764706	0.217993	
1964	0.027933	0.768156	0.203911	
1965	0.011594	0.771014	0.217391	
1966	0.000000	0.778846	0.221154	
1967	0.000000	0.828221	0.171779	
1968	0.000000	0.847118	0.152882	
1969	0.000000	0.878719	0.121281	
1970	0.000000	0.903153	0.096847	
1971	0.000000	0.915691	0.084309	
1972	0.000000	0.934272	0.065728	
1973	0.000000	0.952675	0.047325	
1974	0.000000	0.942197	0.057803	
1975	0.000000	0.947972	0.052028	
1976	0.000000	0.947627	0.052373	
1977	0.000000	0.951489	0.048511	
1978	0.000000	0.957641	0.042359	
1979	0.000000	0.967767	0.032233	
1980	0.000000	0.954078	0.045922	
1981	0.000000	0.989545	0.010455	
1982	0.000000	0.977971	0.022029	
1983	0.000000	0.954916	0.045084	
1984	0.001344	0.976254	0.022401	
1985	0.003065	0.961909	0.035026	
1986	0.015146	0.965922	0.018932	
1987	0.017801	0.969541	0.012658	
1988	0.020625	0.966068	0.013307	
1989	0.012544	0.977163	0.010293	
1990	0.006959	0.973905	0.019136	
1991	0.018110	0.973740	0.008150	
1992	0.010646	0.986383	0.002971	
1993	0.014088	0.978625	0.007287	
1994	0.019126	0.973318	0.007556	
1995	0.009466	0.986252	0.004282	
1996	0.008770	0.981583	0.009647	
1997	0.008549	0.986368	0.005083	
1998	0.014554	0.971563	0.013883	
1999	0.008718	0.983473	0.007810	
2000	0.010503	0.983132	0.006365	
2001	0.007667	0.976849	0.015484	
2002	0.010997	0.981969	0.007033	
2003	0.007083	0.989244	0.003673	
2004	0.006274	0.987681	0.006045	
2005	0.003734	0.990550	0.005716	
2006	0.003165	0.990900	0.005935	
2007	0.001320	0.992700	0.005980	
2008	0.004578	0.990335	0.005087	
2009	0.002402	0.991676	0.005921	
2010	0.001741	0.993396	0.004863	
2011	0.001887	0.993805	0.004307	
2012	0.001812	0.991424	0.006764	
2013	0.001315	0.987103	0.011582	
2014	0.000281	0.987858	0.011861	
2015	0.000566	0.988522	0.010912	
2016	0.001039	0.983250	0.015710	
2017	0.000332	0.971440	0.028228	
2018	0.001194	0.961883	0.036923	
