YEAR	C0020746	C0025611	C0534519	
1945	1	1	0	
1946	10	1	0	
1947	11	4	0	
1948	11	3	0	
1949	5	3	0	
1950	8	4	0	
1951	9	4	0	
1952	6	4	0	
1953	7	4	0	
1954	11	3	0	
1955	6	2	0	
1956	10	4	0	
1957	6	2	0	
1958	7	7	0	
1959	5	3	0	
1960	10	6	0	
1961	7	3	0	
1962	5	4	0	
1963	9	11	0	
1964	10	8	0	
1965	9	11	0	
1966	8	8	0	
1967	6	7	0	
1968	18	16	0	
1969	14	23	0	
1970	15	22	0	
1971	18	32	0	
1972	10	28	0	
1973	15	28	0	
1974	12	21	0	
1975	25	75	0	
1976	12	103	0	
1977	19	42	0	
1978	23	63	0	
1979	5	70	0	
1980	28	45	0	
1981	19	82	0	
1982	31	88	0	
1983	31	173	0	
1984	21	167	0	
1985	44	185	0	
1986	63	202	0	
1987	26	200	0	
1988	91	179	0	
1989	78	262	0	
1990	55	259	0	
1991	126	306	13	
1992	109	345	3	
1993	102	425	21	
1994	102	392	78	
1995	102	527	259	
1996	138	656	614	
1997	191	460	1258	
1998	216	581	469	
1999	201	580	451	
2000	266	883	390	
2001	327	760	452	
2002	402	836	289	
2003	425	847	277	
2004	569	1189	290	
2005	551	1218	303	
2006	539	1545	449	
2007	412	1919	651	
2008	630	2410	600	
2009	618	2851	1172	
2010	743	2778	1309	
2011	817	3604	1729	
2012	1198	4387	1975	
2013	2140	3482	2899	
2014	1690	3791	2834	
2015	1466	5403	2881	
2016	2535	4835	2867	
2017	1806	4144	3132	
2018	644	1242	744	
2019	0	2	0	
