YEAR	C0040112	C0040113	C1015036	
1946	0	19	7	
1947	0	21	8	
1948	0	10	5	
1949	1	21	12	
1950	1	42	24	
1951	3	55	30	
1952	7	77	37	
1953	4	71	31	
1954	1	92	32	
1955	14	71	28	
1956	10	56	38	
1957	9	57	29	
1958	13	58	51	
1959	6	62	29	
1960	8	80	20	
1961	9	101	19	
1962	4	107	22	
1963	5	184	22	
1964	1	246	16	
1965	2	301	9	
1966	0	306	0	
1967	0	302	0	
1968	0	356	0	
1969	0	357	0	
1970	0	443	0	
1971	0	445	0	
1972	0	548	0	
1973	6	491	0	
1974	22	439	0	
1975	76	1468	0	
1976	55	1153	0	
1977	38	1018	0	
1978	34	1039	0	
1979	29	1173	0	
1980	17	1086	0	
1981	21	1221	0	
1982	31	1238	0	
1983	32	1409	0	
1984	40	1678	0	
1985	29	1712	0	
1986	35	1596	0	
1987	38	1680	0	
1988	22	1711	0	
1989	52	2038	0	
1990	24	1906	0	
1991	27	1996	0	
1992	13	2062	0	
1993	18	2117	0	
1994	15	2072	0	
1995	10	1876	0	
1996	8	2042	0	
1997	2	2920	0	
1998	5	2725	0	
1999	16	2626	0	
2000	0	2479	0	
2001	3	2890	5	
2002	7	2215	11	
2003	18	2378	22	
2004	7	2339	38	
2005	8	2742	25	
2006	8	2382	31	
2007	43	2779	33	
2008	20	3191	44	
2009	9	4185	88	
2010	12	4362	80	
2011	7	4220	56	
2012	0	4655	87	
2013	1	5000	72	
2014	1	4754	159	
2015	8	5388	102	
2016	0	6158	128	
2017	0	5138	173	
2018	0	1283	183	
