target	CUI	MAE
AA	C0002520	0.000000
AA	C0001972	0.000000
AA	ALL	0.000000
ADA	C0001457	0.000000
ADA	C0002456	0.000000
ADA	ALL	0.000000
ADH	C0003779	0.000000
ADH	C0001942	1.000000
ADH	ALL	0.500000
ADP	C0004374	1.000000
ADP	C0001459	1.000000
ADP	ALL	1.000000
ALS	C0003372	0.000000
ALS	C0002736	0.000000
ALS	ALL	0.000000
ANA	C0003243	0.000000
ANA	C0002463	1.000000
ANA	ALL	0.500000
Adrenal	C0014563	0.000000
Adrenal	C0001625	0.000000
Adrenal	ALL	0.000000
Ala	C0001898	0.000000
Ala	C0051405	0.000000
Ala	C0002563	1.000000
Ala	ALL	0.333333
Astragalus	C0039277	1.000000
Astragalus	C0330845	0.000000
Astragalus	ALL	0.500000
B-Cell Leukemia	C0023434	0.000000
B-Cell Leukemia	C2004493	0.000000
B-Cell Leukemia	ALL	0.000000
BAT	C0006298	0.000000
BAT	C0008139	0.000000
BAT	ALL	0.000000
BLM	C0005740	0.000000
BLM	C0005859	1.000000
BLM	ALL	0.500000
BPD	C0006012	0.000000
BPD	C0006287	1.000000
BPD	ALL	0.500000
BR	C0006137	0.000000
BR	C0006222	0.000000
BR	ALL	0.000000
BSA	C0036774	0.000000
BSA	C0005902	0.000000
BSA	ALL	0.000000
BSE	C0085209	1.000000
BSE	C0085105	0.000000
BSE	ALL	0.500000
Borrelia	C0006033	0.000000
Borrelia	C0024198	0.000000
Borrelia	ALL	0.000000
Brucella abortus	C0006304	0.000000
Brucella abortus	C0302363	0.000000
Brucella abortus	ALL	0.000000
CAD	C1956346	0.000000
CAD	C0011905	0.000000
CAD	ALL	0.000000
CAM	C0007578	0.000000
CAM	C0178551	0.567568
CAM	ALL	0.283784
CCD	C0751951	1.000000
CCD	C0008928	1.000000
CCD	ALL	1.000000
CCl4	C0209338	1.000000
CCl4	C0007022	1.000000
CCl4	ALL	1.000000
CDA	C0092801	1.000000
CDA	C0002876	0.000000
CDA	ALL	0.500000
CDR	C0011485	0.000000
CDR	C0021024	0.000000
CDR	ALL	0.000000
CH	C0039021	0.000000
CH	C0008115	0.000000
CH	ALL	0.000000
CI	C0008107	0.000000
CI	C0022326	1.000000
CI	ALL	0.500000
CIS	C0007099	0.000000
CIS	C0162854	1.000000
CIS	ALL	0.500000
CLS	C0265252	0.000000
CLS	C0343084	0.000000
CLS	ALL	0.000000
CP	C0008925	0.000000
CP	C0033477	0.347222
CP	C0007789	0.000000
CP	ALL	0.115741
CPDD	C0553730	0.000000
CPDD	C0008838	0.000000
CPDD	ALL	0.000000
CRF	C0010132	0.000000
CRF	C0022661	0.000000
CRF	ALL	0.000000
CTX	C0238052	0.637931
CTX	C0010583	0.000000
CTX	ALL	0.318966
Ca	C0006823	0.000000
Ca	C0006754	1.000000
Ca	C0006675	0.000000
Ca	ALL	0.333333
Callus	C0376154	0.000000
Callus	C0006767	0.000000
Callus	ALL	0.000000
Cell	C0007634	0.000000
Cell	C1136359	0.836735
Cell	ALL	0.418368
Cement	C1706094	0.000000
Cement	C0011343	0.000000
Cement	ALL	0.000000
Cholera	C0008354	0.000000
Cholera	C0008359	0.000000
Cholera	ALL	0.000000
Cilia	C0015422	0.000000
Cilia	C0008778	0.000000
Cilia	ALL	0.000000
Coffee	C0009237	0.000000
Coffee	C0085952	1.000000
Coffee	ALL	0.500000
Cold	C0024117	1.000000
Cold	C0009443	1.000000
Cold	C0009264	1.000000
Cold	ALL	1.000000
Compliance	C0009563	0.000000
Compliance	C1321605	0.000000
Compliance	ALL	0.000000
Cortex	C0007776	0.000000
Cortex	C0001614	1.000000
Cortex	ALL	0.500000
Cortical	C0001613	1.000000
Cortical	C0007776	0.000000
Cortical	C0022655	0.000000
Cortical	ALL	0.333333
Crack	C0040441	0.000000
Crack	C0085163	0.000000
Crack	ALL	0.000000
DAT	C0114838	1.000000
DAT	C0002395	1.000000
DAT	ALL	1.000000
DBA	C1260899	1.000000
DBA	C0025923	1.000000
DBA	ALL	1.000000
DDD	C0026256	0.000000
DDD	C0011037	1.000000
DDD	ALL	0.500000
DDS	C0010980	0.000000
DDS	C0085104	1.000000
DDS	C0950121	1.000000
DDS	ALL	0.666667
DE	C0017480	0.000000
DE	C0011198	0.000000
DE	ALL	0.000000
DI	C0032246	0.000000
DI	C0011848	0.000000
DI	ALL	0.000000
DON	C0012020	0.000000
DON	C0028652	1.000000
DON	ALL	0.500000
Digestive	C0012238	0.000000
Digestive	C0012240	0.000000
Digestive	ALL	0.000000
EGG	C0013710	0.000000
EGG	C0029974	0.000000
EGG	ALL	0.000000
EM	C0014921	1.000000
EM	C0026019	1.000000
EM	ALL	1.000000
EMS	C0013961	1.000000
EMS	C0015063	1.000000
EMS	ALL	1.000000
ERP	C0008310	1.000000
ERP	C0015214	0.000000
ERP	ALL	0.500000
ERUPTION	C1533692	0.000000
ERUPTION	C0015230	0.000000
ERUPTION	ALL	0.000000
