YEAR	C0020746	C0025611	C0534519	
1946	0.909091	0.090909	0.000000	
1947	0.733333	0.266667	0.000000	
1948	0.785714	0.214286	0.000000	
1949	0.625000	0.375000	0.000000	
1950	0.666667	0.333333	0.000000	
1951	0.692308	0.307692	0.000000	
1952	0.600000	0.400000	0.000000	
1953	0.636364	0.363636	0.000000	
1954	0.785714	0.214286	0.000000	
1955	0.750000	0.250000	0.000000	
1956	0.714286	0.285714	0.000000	
1957	0.750000	0.250000	0.000000	
1958	0.500000	0.500000	0.000000	
1959	0.625000	0.375000	0.000000	
1960	0.625000	0.375000	0.000000	
1961	0.700000	0.300000	0.000000	
1962	0.555556	0.444444	0.000000	
1963	0.450000	0.550000	0.000000	
1964	0.555556	0.444444	0.000000	
1965	0.450000	0.550000	0.000000	
1966	0.500000	0.500000	0.000000	
1967	0.461538	0.538462	0.000000	
1968	0.529412	0.470588	0.000000	
1969	0.378378	0.621622	0.000000	
1970	0.405405	0.594595	0.000000	
1971	0.360000	0.640000	0.000000	
1972	0.263158	0.736842	0.000000	
1973	0.348837	0.651163	0.000000	
1974	0.363636	0.636364	0.000000	
1975	0.250000	0.750000	0.000000	
1976	0.104348	0.895652	0.000000	
1977	0.311475	0.688525	0.000000	
1978	0.267442	0.732558	0.000000	
1979	0.066667	0.933333	0.000000	
1980	0.383562	0.616438	0.000000	
1981	0.188119	0.811881	0.000000	
1982	0.260504	0.739496	0.000000	
1983	0.151961	0.848039	0.000000	
1984	0.111702	0.888298	0.000000	
1985	0.192140	0.807860	0.000000	
1986	0.237736	0.762264	0.000000	
1987	0.115044	0.884956	0.000000	
1988	0.337037	0.662963	0.000000	
1989	0.229412	0.770588	0.000000	
1990	0.175159	0.824841	0.000000	
1991	0.283146	0.687640	0.029213	
1992	0.238512	0.754923	0.006565	
1993	0.186131	0.775547	0.038321	
1994	0.178322	0.685315	0.136364	
1995	0.114865	0.593468	0.291667	
1996	0.098011	0.465909	0.436080	
1997	0.100052	0.240964	0.658984	
1998	0.170616	0.458926	0.370458	
1999	0.163149	0.470779	0.366071	
2000	0.172840	0.573749	0.253411	
2001	0.212476	0.493827	0.293697	
2002	0.263261	0.547479	0.189260	
2003	0.274371	0.546804	0.178825	
2004	0.277832	0.580566	0.141602	
2005	0.265927	0.587838	0.146236	
2006	0.212791	0.609949	0.177260	
2007	0.138162	0.643528	0.218310	
2008	0.173077	0.662088	0.164835	
2009	0.133161	0.614307	0.252532	
2010	0.153830	0.575155	0.271014	
2011	0.132846	0.586016	0.281138	
2012	0.158466	0.580291	0.261243	
2013	0.251144	0.408637	0.340218	
2014	0.203247	0.455923	0.340830	
2015	0.150359	0.554154	0.295487	
2016	0.247631	0.472306	0.280063	
2017	0.198855	0.456287	0.344858	
2018	0.244867	0.472243	0.282890	
