WSD	WSD_BASELINE_EMERGENCE	Sense	SenseBASELINE_EMERGENCE	Year
PCP	1	C0030855	0	1951
PCP	1	C0031381	1	1959
CCl4	1	C0007022	0	1945
CCl4	1	C0209338	1	1991
Cold	1	C0009264	0	1945
Cold	1	C0009443	0	1945
Cold	1	C0024117	1	1959
CCD	1	C0008928	0	1946
CCD	1	C0751951	1	1961
BSA	1	C0036774	0	1947
BSA	1	C0005902	1	1952
GAG	1	C0017973	0	1947
GAG	1	C0017346	1	1982
Pharmaceutical	1	C0031336	0	1945
Pharmaceutical	1	C0013058	1	1963
CAM	1	C0178551	0	1945
CAM	1	C0007578	1	1981
Language	1	C0023008	0	1945
Language	1	C0033348	1	1958
EMS	1	C0013961	0	1945
EMS	1	C0015063	1	1959
TNC	1	C0077400	0	1980
TNC	1	C0076088	1	1985
SCD	1	C0002895	0	1945
SCD	1	C0085298	1	1950
EM	1	C0026019	0	1945
EM	1	C0014921	1	1975
TNT	1	C0041070	0	1945
TNT	1	C0077404	1	1981
CIS	1	C0007099	0	1946
CIS	1	C0162854	1	1992
IP	1	C0021171	0	1947
IP	1	C0021069	1	1958
Familial Adenomatous Polyposis	1	C0032580	0	1947
Familial Adenomatous Polyposis	1	C0162832	1	1991
CDR	1	C0011485	0	1958
CDR	1	C0021024	1	1998
Crack	1	C0040441	0	1948
Crack	1	C0085163	1	1990
TEM	1	C0040975	0	1950
TEM	1	C0678118	1	1965
PCA	1	C0149576	0	1945
PCA	1	C0030625	1	1951
PCA	1	C0429865	1	1960
PCA	1	C0030131	1	1974
PCA	1	C0078944	1	1989
HPS	1	C0242994	0	1994
HPS	1	C0079504	1	2000
Epi	1	C0014563	0	1945
Epi	1	C0014582	1	1980
Borrelia	1	C0006033	0	1946
Borrelia	1	C0024198	1	1983
Tax	1	C0039371	0	1950
Tax	1	C0144576	1	1983
HCl	1	C0020259	0	1945
HCl	1	C0023443	1	1954
PEP	1	C0031642	0	1950
PEP	1	C0135981	1	1980
TPA	1	C0032143	0	1962
TPA	1	C0039654	1	1975
Eels	1	C0013671	0	1946
Eels	1	C0677644	1	2004
HR	1	C0018810	0	1945
HR	1	C0010343	1	1950
NPC	1	C0028587	0	1959
NPC	1	C0220756	1	2006
DON	1	C0028652	0	1948
DON	1	C0012020	1	1956
CTX	1	C0010583	0	1951
CTX	1	C0238052	1	1957
PAC	1	C0033036	0	1949
PAC	1	C0949780	1	2001
BLM	1	C0005859	0	1954
BLM	1	C0005740	1	1970
NEUROFIBROMATOSIS	1	C0162678	0	1945
NEUROFIBROMATOSIS	1	C0085113	1	1990
POL	1	C0032356	0	1946
POL	1	C0017360	1	1989
TSF	1	C0040052	0	1958
TSF	1	C0021756	1	1964
Orf	1	C0013570	0	1946
Orf	1	C0079941	1	1982
TRF	1	C0040162	0	1956
TRF	1	C0021759	1	1980
ADP	1	C0001459	0	1947
ADP	1	C0004374	1	1959
dC	1	C0012764	0	1945
dC	1	C0011485	1	1958
lens	1	C0023317	0	1945
lens	1	C0023318	0	1945
lens	1	C0023308	1	1952
MCC	1	C0007129	0	1953
MCC	1	C0162804	1	1991
SS	1	C0039101	0	1945
SS	1	C0085077	1	1964
CRF	1	C0022661	0	1950
CRF	1	C0010132	1	1956
WT1	1	C0027708	0	1946
WT1	1	C0148873	1	1991
HHV 8	1	C0036220	0	1946
HHV 8	1	C0376526	1	1996
sex factor	1	C0036881	0	1946
sex factor	1	C0015435	1	1956
Murine sarcoma virus	1	C0026630	0	1970
Murine sarcoma virus	1	C0026399	1	1984
MAF	1	C0079786	0	1980
MAF	1	C0919482	1	1998
MRS	1	C0025235	0	1947
MRS	1	C0024487	1	1961
CI	1	C0008107	0	1945
CI	1	C0022326	1	1951
Ice	1	C0020746	0	1945
Ice	1	C0025611	0	1945
Ice	1	C0534519	1	1991
DDD	1	C0011037	0	1946
DDD	1	C0026256	1	1959
Fish	1	C0016163	0	1945
Fish	1	C0162789	1	1953
RSV	1	C0086943	0	1948
RSV	1	C0035236	1	1960
DDS	1	C0010980	0	1946
DDS	1	C0085104	0	1948
DDS	1	C0950121	1	2001
HGF	1	C0062534	0	1965
HGF	1	C0021760	1	1983
NBS	1	C0027819	0	1945
NBS	1	C0398791	1	2002
B-Cell Leukemia	1	C0023434	0	1946
B-Cell Leukemia	1	C2004493	1	1988
PR	1	C0034044	0	1945
PR	1	C0034833	1	1973
MBP	1	C0014063	0	1972
MBP	1	C0065661	1	1984
FTC	1	C0206682	0	1952
FTC	1	C0041713	1	1961
ERP	1	C0015214	0	1948
ERP	1	C0008310	1	1978
Hemlock	1	C0242872	0	1954
Hemlock	1	C0949851	1	1962
Wasp	1	C0043041	0	1945
Wasp	1	C0258432	1	1994
