PCP(2)(1951TO2018)	C0030855(1951)	C0031381(1959)	
C0030855(1951)	0	8	
C0031381(1959)	8	0	
CCl4(2)(1945TO2018)	C0007022(1945)	C0209338(1991)	
C0007022(1945)	0	46	
C0209338(1991)	46	0	
Cold(3)(1945TO2019)	C0009264(1945)	C0009443(1945)	C0024117(1959)	
C0009264(1945)	0	0	14	
C0009443(1945)	0	0	14	
C0024117(1959)	14	14	0	
PCB(2)(1970TO2019)	C0033223(1970)	C0032447(1971)	
C0033223(1970)	0	1	
C0032447(1971)	1	0	
Yellow Fever(2)(1945TO2018)	C0043395(1945)	C0301508(1945)	
C0043395(1945)	0	0	
C0301508(1945)	0	0	
CCD(2)(1946TO2018)	C0008928(1946)	C0751951(1961)	
C0008928(1946)	0	15	
C0751951(1961)	15	0	
BSA(2)(1947TO2019)	C0036774(1947)	C0005902(1952)	
C0036774(1947)	0	5	
C0005902(1952)	5	0	
GAG(2)(1947TO2018)	C0017973(1947)	C0017346(1982)	
C0017973(1947)	0	35	
C0017346(1982)	35	0	
Pharmaceutical(2)(1945TO2018)	C0031336(1945)	C0013058(1963)	
C0031336(1945)	0	18	
C0013058(1963)	18	0	
ERUPTION(2)(1944TO2018)	C0015230(1944)	C1533692(1944)	
C0015230(1944)	0	0	
C1533692(1944)	0	0	
CAM(2)(1945TO2018)	C0178551(1945)	C0007578(1981)	
C0178551(1945)	0	36	
C0007578(1981)	36	0	
Exercises(2)(1945TO2019)	C0015259(1945)	C0452240(1945)	
C0015259(1945)	0	0	
C0452240(1945)	0	0	
Language(2)(1945TO2018)	C0023008(1945)	C0033348(1958)	
C0023008(1945)	0	13	
C0033348(1958)	13	0	
EMS(2)(1945TO2018)	C0013961(1945)	C0015063(1959)	
C0013961(1945)	0	14	
C0015063(1959)	14	0	
TNC(2)(1980TO2018)	C0077400(1980)	C0076088(1985)	
C0077400(1980)	0	5	
C0076088(1985)	5	0	
SCD(2)(1945TO2019)	C0002895(1945)	C0085298(1950)	
C0002895(1945)	0	5	
C0085298(1950)	5	0	
Synapsis(2)(1945TO2018)	C0039062(1945)	C0598501(1945)	
C0039062(1945)	0	0	
C0598501(1945)	0	0	
EM(2)(1945TO2018)	C0026019(1945)	C0014921(1975)	
C0026019(1945)	0	30	
C0014921(1975)	30	0	
Sodium(2)(1945TO2019)	C0037473(1945)	C0037570(1945)	
C0037473(1945)	0	0	
C0037570(1945)	0	0	
TNT(2)(1945TO2018)	C0041070(1945)	C0077404(1981)	
C0041070(1945)	0	36	
C0077404(1981)	36	0	
BR(2)(1945TO2019)	C0006137(1945)	C0006222(1945)	
C0006137(1945)	0	0	
C0006222(1945)	0	0	
Plague(2)(1944TO2018)	C0032064(1944)	C0032066(1946)	
C0032064(1944)	0	2	
C0032066(1946)	2	0	
Cilia(2)(1945TO2018)	C0015422(1945)	C0008778(1946)	
C0015422(1945)	0	1	
C0008778(1946)	1	0	
DI(2)(1945TO2018)	C0011848(1945)	C0032246(1946)	
C0011848(1945)	0	1	
C0032246(1946)	1	0	
Radiation(2)(1944TO2018)	C0851346(1944)	C1522449(1946)	
C0851346(1944)	0	2	
C1522449(1946)	2	0	
CP(3)(1945TO2018)	C0007789(1945)	C0008925(1945)	C0033477(1946)	
C0007789(1945)	0	0	1	
C0008925(1945)	0	0	1	
C0033477(1946)	1	1	0	
CIS(2)(1946TO2018)	C0007099(1946)	C0162854(1992)	
C0007099(1946)	0	46	
C0162854(1992)	46	0	
PHA(2)(1949TO2018)	C0031858(1949)	C0030779(1950)	
C0031858(1949)	0	1	
C0030779(1950)	1	0	
IP(2)(1947TO2018)	C0021171(1947)	C0021069(1958)	
C0021171(1947)	0	11	
C0021069(1958)	11	0	
Familial Adenomatous Polyposis(2)(1947TO2018)	C0032580(1947)	C0162832(1991)	
C0032580(1947)	0	44	
C0162832(1991)	44	0	
Leishmaniasis(2)(1945TO2018)	C0023281(1945)	C1548483(1947)	
C0023281(1945)	0	2	
C1548483(1947)	2	0	
CDR(2)(1958TO2018)	C0011485(1958)	C0021024(1998)	
C0011485(1958)	0	40	
C0021024(1998)	40	0	
Platelet(2)(1945TO2019)	C0005821(1945)	C0032181(1945)	
C0005821(1945)	0	0	
C0032181(1945)	0	0	
Crack(2)(1948TO2018)	C0040441(1948)	C0085163(1990)	
C0040441(1948)	0	42	
C0085163(1990)	42	0	
RA(3)(1945TO2018)	C0003873(1945)	C0034625(1945)	C0002893(1946)	
C0003873(1945)	0	0	1	
C0034625(1945)	0	0	1	
C0002893(1946)	1	1	0	
Nurse(2)(1945TO2018)	C0006147(1945)	C0028661(1945)	
C0006147(1945)	0	0	
C0028661(1945)	0	0	
Lactation(2)(1945TO2019)	C0006147(1945)	C0022925(1945)	
C0006147(1945)	0	0	
C0022925(1945)	0	0	
IA(2)(1945TO2018)	C0021487(1945)	C0022037(1946)	
C0021487(1945)	0	1	
C0022037(1946)	1	0	
Haemophilus ducreyi(2)(1945TO2018)	C0007947(1945)	C0018481(1945)	
C0007947(1945)	0	0	
C0018481(1945)	0	0	
rDNA(2)(1974TO2019)	C0012933(1974)	C0012931(1976)	
C0012933(1974)	0	2	
C0012931(1976)	2	0	
Strep(2)(1945TO2019)	C0038395(1945)	C0038402(1945)	
C0038395(1945)	0	0	
C0038402(1945)	0	0	
CDA(2)(1979TO2018)	C0002876(1979)	C0092801(1983)	
C0002876(1979)	0	4	
C0092801(1983)	4	0	
HIV(2)(1985TO2019)	C0019682(1985)	C0019693(1987)	
C0019682(1985)	0	2	
C0019693(1987)	2	0	
OH(2)(1945TO2019)	C0028905(1945)	C0063146(1946)	
C0028905(1945)	0	1	
C0063146(1946)	1	0	
lymphogranulomatosis(2)(1945TO2018)	C0019829(1945)	C0036202(1945)	
C0019829(1945)	0	0	
C0036202(1945)	0	0	
TEM(2)(1950TO2019)	C0040975(1950)	C0678118(1965)	
C0040975(1950)	0	15	
C0678118(1965)	15	0	
OCD(2)(1946TO2018)	C0029421(1946)	C0028768(1949)	
C0029421(1946)	0	3	
C0028768(1949)	3	0	
PCA(5)(1945TO2019)	C0149576(1945)	C0030625(1951)	C0429865(1960)	C0030131(1974)	C0078944(1989)	
C0149576(1945)	0	6	15	29	44	
C0030625(1951)	6	0	9	23	38	
C0429865(1960)	15	9	0	14	29	
C0030131(1974)	29	23	14	0	15	
C0078944(1989)	44	38	29	15	0	
Schistosoma mansoni(2)(1945TO2018)	C0036319(1945)	C0036330(1945)	
C0036319(1945)	0	0	
C0036330(1945)	0	0	
HPS(2)(1994TO2018)	C0242994(1994)	C0079504(2000)	
C0242994(1994)	0	6	
C0079504(2000)	6	0	
Staph(2)(1945TO2018)	C0038160(1945)	C0038170(1945)	
C0038160(1945)	0	0	
C0038170(1945)	0	0	
LABOR(2)(1945TO2018)	C0022864(1945)	C0043227(1945)	
C0022864(1945)	0	0	
C0043227(1945)	0	0	
CH(2)(1945TO2019)	C0008115(1945)	C0039021(1946)	
C0008115(1945)	0	1	
C0039021(1946)	1	0	
Epi(2)(1945TO2018)	C0014563(1945)	C0014582(1980)	
C0014563(1945)	0	35	
C0014582(1980)	35	0	
Borrelia(2)(1946TO2018)	C0006033(1946)	C0024198(1983)	
C0006033(1946)	0	37	
C0024198(1983)	37	0	
Tax(2)(1950TO2019)	C0039371(1950)	C0144576(1983)	
C0039371(1950)	0	33	
C0144576(1983)	33	0	
Follicle(2)(1945TO2018)	C0018120(1945)	C0221971(1945)	
C0018120(1945)	0	0	
C0221971(1945)	0	0	
HCl(2)(1945TO2018)	C0020259(1945)	C0023443(1954)	
C0020259(1945)	0	9	
C0023443(1954)	9	0	
Gas(2)(1945TO2018)	C0016204(1945)	C0017110(1945)	
C0016204(1945)	0	0	
C0017110(1945)	0	0	
PEP(2)(1950TO2018)	C0031642(1950)	C0135981(1980)	
C0031642(1950)	0	30	
C0135981(1980)	30	0	
Torula(2)(1945TO2018)	C0010414(1945)	C0010415(1945)	
C0010414(1945)	0	0	
C0010415(1945)	0	0	
TPA(2)(1962TO2018)	C0032143(1962)	C0039654(1975)	
C0032143(1962)	0	13	
C0039654(1975)	13	0	
Eels(2)(1946TO2018)	C0013671(1946)	C0677644(2004)	
C0013671(1946)	0	58	
C0677644(2004)	58	0	
Fe(2)(1945TO2019)	C0302583(1945)	C0376520(1946)	
C0302583(1945)	0	1	
C0376520(1946)	1	0	
Phosphorus(2)(1945TO2019)	C0031705(1945)	C0080014(1945)	
C0031705(1945)	0	0	
C0080014(1945)	0	0	
HR(2)(1945TO2018)	C0018810(1945)	C0010343(1950)	
C0018810(1945)	0	5	
C0010343(1950)	5	0	
pI(2)(1945TO2018)	C0022171(1945)	C0812425(1947)	
C0022171(1945)	0	2	
C0812425(1947)	2	0	
Cortical(3)(1945TO2018)	C0001613(1945)	C0007776(1945)	C0022655(1947)	
C0001613(1945)	0	0	2	
C0007776(1945)	0	0	2	
C0022655(1947)	2	2	0	
NPC(2)(1959TO2018)	C0028587(1959)	C0220756(2006)	
C0028587(1959)	0	47	
C0220756(2006)	47	0	
DON(2)(1948TO2018)	C0028652(1948)	C0012020(1956)	
C0028652(1948)	0	8	
C0012020(1956)	8	0	
CTX(2)(1951TO2018)	C0010583(1951)	C0238052(1957)	
C0010583(1951)	0	6	
C0238052(1957)	6	0	
PAC(2)(1949TO2018)	C0033036(1949)	C0949780(2001)	
C0033036(1949)	0	52	
C0949780(2001)	52	0	
BLM(2)(1954TO2018)	C0005859(1954)	C0005740(1970)	
C0005859(1954)	0	16	
C0005740(1970)	16	0	
NEUROFIBROMATOSIS(2)(1945TO2018)	C0162678(1945)	C0085113(1990)	
C0162678(1945)	0	45	
C0085113(1990)	45	0	
POL(2)(1946TO2019)	C0032356(1946)	C0017360(1989)	
C0032356(1946)	0	43	
C0017360(1989)	43	0	
Moles(2)(1945TO2018)	C0027960(1945)	C0324740(1946)	
C0027960(1945)	0	1	
C0324740(1946)	1	0	
SARS(2)(1953TO2018)	C1175175(1953)	C1175743(1953)	
C1175175(1953)	0	0	
C1175743(1953)	0	0	
TSF(2)(1958TO2018)	C0040052(1958)	C0021756(1964)	
C0040052(1958)	0	6	
C0021756(1964)	6	0	
Callus(2)(1947TO2018)	C0006767(1947)	C0376154(1947)	
C0006767(1947)	0	0	
C0376154(1947)	0	0	
Cholera(2)(1945TO2018)	C0008354(1945)	C0008359(1946)	
C0008354(1945)	0	1	
C0008359(1946)	1	0	
Follicles(2)(1945TO2018)	C0018120(1945)	C0221971(1945)	
C0018120(1945)	0	0	
C0221971(1945)	0	0	
Laryngeal(2)(1945TO2018)	C0023078(1945)	C0023081(1945)	
C0023078(1945)	0	0	
C0023081(1945)	0	0	
Orf(2)(1946TO2019)	C0013570(1946)	C0079941(1982)	
C0013570(1946)	0	36	
C0079941(1982)	36	0	
TRF(2)(1956TO2018)	C0040162(1956)	C0021759(1980)	
C0040162(1956)	0	24	
C0021759(1980)	24	0	
Retinal(2)(1944TO2018)	C0035298(1944)	C0035331(1945)	
C0035298(1944)	0	1	
C0035331(1945)	1	0	
ADP(2)(1947TO2018)	C0001459(1947)	C0004374(1959)	
C0001459(1947)	0	12	
C0004374(1959)	12	0	
dC(2)(1945TO2018)	C0012764(1945)	C0011485(1958)	
C0012764(1945)	0	13	
C0011485(1958)	13	0	
Brucella abortus(2)(1943TO2018)	C0006304(1943)	C0302363(1946)	
C0006304(1943)	0	3	
C0302363(1946)	3	0	
